Count: 240  Distance: 50
Count: 241  Distance: 51
Count: 242  Distance: 51
Count: 243  Distance: 51
Count: 244  Distance: 50
Count: 245  Distance: 51
Count: 246  Distance: 50
Count: 247  Distance: 50
Count: 248  Distance: 50
Count: 249  Distance: 51
Count: 250  Distance: 51
Count: 251  Distance: 51
Count: 252  Distance: 50
Count: 253  Distance: 50
Count: 254  Distance: 50
Count: 255  Distance: 51
Count: 256  Distance: 51
Count: 257  Distance: 50
Count: 258  Distance: 51
Count: 259  Distance: 51
Count: 260  Distance: 50
Count: 261  Distance: 51
Count: 262  Distance: 51
Count: 263  Distance: 50
Count: 264  Distance: 51
Count: 265  Distance: 51
Count: 266  Distance: 51
Count: 267  Distance: 51
Count: 268  Distance: 51
Count: 269  Distance: 51
Count: 270  Distance: 51
Count: 271  Distance: 51
Count: 272  Distance: 51
Count: 273  Distance: 51
Count: 274  Distance: 51
Count: 275  Distance: 51
Count: 276  Distance: 51
Count: 277  Distance: 52
Count: 278  Distance: 49
Count: 279  Distance: 51
Count: 280  Distance: 50
Count: 281  Distance: 51
Count: 282  Distance: 50
Count: 283  Distance: 50
Count: 284  Distance: 50
Count: 285  Distance: 50
Count: 286  Distance: 50
Count: 287  Distance: 50
Count: 288  Distance: 50
Count: 289  Distance: 50
Count: 290  Distance: 50
Count: 291  Distance: 51
Count: 292  Distance: 51
Count: 293  Distance: 51
Count: 294  Distance: 51
Count: 295  Distance: 51
Count: 296  Distance: 51
Count: 297  Distance: 51
Count: 298  Distance: 50
Count: 299  Distance: 51
Count: 300  Distance: 50
Count: 301  Distance: 51
Count: 302  Distance: 51
Count: 303  Distance: 52
Count: 304  Distance: 51
Count: 305  Distance: 51
Count: 306  Distance: 51
Count: 307  Distance: 51
Count: 308  Distance: 51
Count: 309  Distance: 51
Count: 310  Distance: 51
Count: 311  Distance: 51
Count: 312  Distance: 51
Count: 313  Distance: 51
Count: 314  Distance: 51
Count: 315  Distance: 50
Count: 316  Distance: 51
Count: 317  Distance: 51
Count: 318  Distance: 52
Count: 319  Distance: 51
Count: 320  Distance: 51
Count: 321  Distance: 51
Count: 322  Distance: 51
Count: 323  Distance: 51
Count: 324  Distance: 49
Count: 325  Distance: 50
Count: 326  Distance: 51
Count: 327  Distance: 51
Count: 328  Distance: 51
Count: 329  Distance: 50
Count: 330  Distance: 50
Count: 331  Distance: 50
Count: 332  Distance: 51
Count: 333  Distance: 51
Count: 334  Distance: 51
Count: 335  Distance: 51
Count: 336  Distance: 51
Count: 337  Distance: 52
Count: 338  Distance: 51
Count: 339  Distance: 51
Count: 340  Distance: 51
Count: 341  Distance: 50
Count: 342  Distance: 51
Count: 343  Distance: 51
Count: 344  Distance: 51
Count: 345  Distance: 52
Count: 346  Distance: 51
Count: 347  Distance: 52
Count: 348  Distance: 51
Count: 349  Distance: 52
Count: 350  Distance: 51
Count: 351  Distance: 51
Count: 352  Distance: 51
Count: 353  Distance: 50
Count: 354  Distance: 51
Count: 355  Distance: 51
Count: 356  Distance: 50
Count: 357  Distance: 51
Count: 358  Distance: 51
Count: 359  Distance: 51
Count: 360  Distance: 51
Count: 361  Distance: 50
Count: 362  Distance: 52
Count: 363  Distance: 50
Count: 364  Distance: 51
Count: 365  Distance: 51
Count: 366  Distance: 50
Count: 367  Distance: 51
Count: 368  Distance: 51
Count: 369  Distance: 50
Count: 370  Distance: 51
Count: 371  Distance: 50
Count: 372  Distance: 51
Count: 373  Distance: 51
Count: 374  Distance: 52
Count: 375  Distance: 51
Count: 376  Distance: 51
Count: 377  Distance: 51
Count: 378  Distance: 51
Count: 379  Distance: 51
Count: 380  Distance: 51
Count: 381  Distance: 51
Count: 382  Distance: 51
Count: 383  Distance: 51
Count: 384  Distance: 51
Count: 385  Distance: 51
Count: 386  Distance: 50
Count: 387  Distance: 50
Count: 388  Distance: 51
Count: 389  Distance: 51
Count: 390  Distance: 51
Count: 391  Distance: 50
Count: 392  Distance: 51
Count: 393  Distance: 50
Count: 394  Distance: 51
Count: 395  Distance: 51
Count: 396  Distance: 51
Count: 397  Distance: 51
Count: 398  Distance: 51
Count: 399  Distance: 51
Count: 400  Distance: 51
Count: 401  Distance: 51
Count: 402  Distance: 51
Count: 403  Distance: 51
Count: 404  Distance: 51
Count: 405  Distance: 51
Count: 406  Distance: 50
Count: 407  Distance: 51
Count: 408  Distance: 51
Count: 409  Distance: 51
Count: 410  Distance: 51
Count: 411  Distance: 51
Count: 412  Distance: 52
Count: 413  Distance: 51
Count: 414  Distance: 51
Count: 415  Distance: 52
Count: 416  Distance: 51
Count: 417  Distance: 52
Count: 418  Distance: 51
Count: 419  Distance: 52
Count: 420  Distance: 51
Count: 421  Distance: 52
Count: 422  Distance: 52
Count: 423  Distance: 52
Count: 424  Distance: 52
Count: 425  Distance: 52
Count: 426  Distance: 51
Count: 427  Distance: 51
Count: 428  Distance: 51
Count: 429  Distance: 50
Count: 430  Distance: 51
Count: 431  Distance: 51
Count: 432  Distance: 51
Count: 433  Distance: 51
Count: 434  Distance: 51
Count: 435  Distance: 51
Count: 436  Distance: 51
Count: 437  Distance: 51
Count: 438  Distance: 51
Count: 439  Distance: 52
Count: 440  Distance: 51
Count: 441  Distance: 51
Count: 442  Distance: 51
Count: 443  Distance: 51
Count: 444  Distance: 51
Count: 445  Distance: 51
Count: 446  Distance: 51
Count: 447  Distance: 51
Count: 448  Distance: 50
Count: 449  Distance: 51
Count: 450  Distance: 51
Count: 451  Distance: 51
Count: 452  Distance: 51
Count: 453  Distance: 51
Count: 454  Distance: 51
Count: 455  Distance: 51
Count: 456  Distance: 51
Count: 457  Distance: 51
Count: 458  Distance: 51
Count: 459  Distance: 51
Count: 460  Distance: 51
Count: 461  Distance: 50
Count: 462  Distance: 51
Count: 463  Distance: 51
Count: 464  Distance: 51
Count: 465  Distance: 51
Count: 466  Distance: 51
Count: 467  Distance: 51
Count: 468  Distance: 50
Count: 469  Distance: 51
Count: 470  Distance: 51
Count: 471  Distance: 50
Count: 472  Distance: 51
Count: 473  Distance: 50
Count: 474  Distance: 51
Count: 475  Distance: 51
Count: 476  Distance: 51
Count: 477  Distance: 51
Count: 478  Distance: 50
Count: 479  Distance: 51
Count: 480  Distance: 51
Count: 481  Distance: 50
Count: 482  Distance: 51
Count: 483  Distance: 52
Count: 484  Distance: 51
Count: 485  Distance: 50
Count: 486  Distance: 51
Count: 487  Distance: 51
Count: 488  Distance: 50
Count: 489  Distance: 51
Count: 490  Distance: 51
Count: 491  Distance: 51
Count: 492  Distance: 51
Count: 493  Distance: 51
Count: 494  Distance: 52
Count: 495  Distance: 51
Count: 496  Distance: 51
Count: 497  Distance: 51
Count: 498  Distance: 50
Count: 499  Distance: 51
Count: 500  Distance: 50
Count: 501  Distance: 50
Count: 502  Distance: 50
Count: 503  Distance: 50
Count: 504  Distance: 50
Count: 505  Distance: 51
Count: 506  Distance: 50
Count: 507  Distance: 51
Count: 508  Distance: 50
Count: 509  Distance: 51
Count: 510  Distance: 50
Count: 511  Distance: 51
Count: 512  Distance: 50
Count: 513  Distance: 51
Count: 514  Distance: 51
Count: 515  Distance: 51
Count: 516  Distance: 51
Count: 517  Distance: 51
Count: 518  Distance: 51
Count: 519  Distance: 51
Count: 520  Distance: 50
Count: 521  Distance: 52
Count: 522  Distance: 51
Count: 523  Distance: 51
Count: 524  Distance: 51
Count: 525  Distance: 51
Count: 526  Distance: 51
Count: 527  Distance: 51
Count: 528  Distance: 51
Count: 529  Distance: 51
Count: 530  Distance: 51
Count: 531  Distance: 51
Count: 532  Distance: 51
Count: 533  Distance: 51
Count: 534  Distance: 50
Count: 535  Distance: 51
Count: 536  Distance: 50
Count: 537  Distance: 51
Count: 538  Distance: 51
Count: 539  Distance: 51
Count: 540  Distance: 51
Count: 541  Distance: 50
Count: 542  Distance: 50
Count: 543  Distance: 51
Count: 544  Distance: 50
Count: 545  Distance: 51
Count: 546  Distance: 51
Count: 547  Distance: 50
Count: 548  Distance: 51
Count: 549  Distance: 51
Count: 550  Distance: 51
Count: 551  Distance: 51
Count: 552  Distance: 50
Count: 553  Distance: 50
Count: 554  Distance: 50
Count: 555  Distance: 50
Count: 556  Distance: 50
Count: 557  Distance: 50
Count: 558  Distance: 49
Count: 559  Distance: 49
Count: 560  Distance: 50
Count: 561  Distance: 51
Count: 562  Distance: 50
Count: 563  Distance: 50
Count: 564  Distance: 50
Count: 565  Distance: 51
Count: 566  Distance: 51
Count: 567  Distance: 51
Count: 568  Distance: 51
Count: 569  Distance: 52
Count: 570  Distance: 51
Count: 571  Distance: 51
Count: 572  Distance: 51
Count: 573  Distance: 50
Count: 574  Distance: 51
Count: 575  Distance: 51
Count: 576  Distance: 51
Count: 577  Distance: 51
Count: 578  Distance: 51
Count: 579  Distance: 51
Count: 580  Distance: 50
Count: 581  Distance: 51
Count: 582  Distance: 52
Count: 583  Distance: 51
Count: 584  Distance: 51
Count: 585  Distance: 51
Count: 586  Distance: 51
Count: 587  Distance: 51
Count: 588  Distance: 51
Count: 589  Distance: 51
Count: 590  Distance: 51
Count: 591  Distance: 51
Count: 592  Distance: 51
Count: 593  Distance: 51
Count: 594  Distance: 51
Count: 595  Distance: 50
Count: 596  Distance: 51
Count: 597  Distance: 51
Count: 598  Distance: 51
Count: 599  Distance: 51
Count: 600  Distance: 51
Count: 601  Distance: 51
Count: 602  Distance: 51
Count: 603  Distance: 51
Count: 604  Distance: 50
Count: 605  Distance: 50
Count: 606  Distance: 51
Count: 607  Distance: 51
Count: 608  Distance: 51
Count: 609  Distance: 51
Count: 610  Distance: 51
Count: 611  Distance: 51
Count: 612  Distance: 51
Count: 613  Distance: 52
Count: 614  Distance: 51
Count: 615  Distance: 51
Count: 616  Distance: 51
Count: 617  Distance: 51
Count: 618  Distance: 51
Count: 619  Distance: 51
Count: 620  Distance: 51
Count: 621  Distance: 52
Count: 622  Distance: 52
Count: 623  Distance: 51
Count: 624  Distance: 51
Count: 625  Distance: 51
Count: 626  Distance: 51
Count: 627  Distance: 51
Count: 628  Distance: 51
Count: 629  Distance: 51
Count: 630  Distance: 51
Count: 631  Distance: 51
Count: 632  Distance: 51
Count: 633  Distance: 50
Count: 634  Distance: 51
Count: 635  Distance: 51
Count: 636  Distance: 50
Count: 637  Distance: 51
Count: 638  Distance: 51
Count: 639  Distance: 51
Count: 640  Distance: 51
Count: 641  Distance: 51
Count: 642  Distance: 51
Count: 643  Distance: 51
Count: 644  Distance: 51
Count: 645  Distance: 51
Count: 646  Distance: 51
Count: 647  Distance: 51
Count: 648  Distance: 51
Count: 649  Distance: 51
Count: 650  Distance: 51
Count: 651  Distance: 51
Count: 652  Distance: 50
Count: 653  Distance: 51
Count: 654  Distance: 50
Count: 655  Distance: 51
Count: 656  Distance: 51
Count: 657  Distance: 51
Count: 658  Distance: 50
Count: 659  Distance: 51
Count: 660  Distance: 51
Count: 661  Distance: 51
Count: 662  Distance: 50
Count: 663  Distance: 50
Count: 664  Distance: 51
Count: 665  Distance: 51
Count: 666  Distance: 49
Count: 667  Distance: 51
Count: 668  Distance: 51
Count: 669  Distance: 51
Count: 670  Distance: 51
Count: 671  Distance: 51
Count: 672  Distance: 51
Count: 673  Distance: 51
Count: 674  Distance: 52
Count: 675  Distance: 51
Count: 676  Distance: 51
Count: 677  Distance: 51
Count: 678  Distance: 51
Count: 679  Distance: 51
Count: 680  Distance: 50
Count: 681  Distance: 51
Count: 682  Distance: 51
Count: 683  Distance: 51
Count: 684  Distance: 50
Count: 685  Distance: 51
Count: 686  Distance: 50
Count: 687  Distance: 52
Count: 688  Distance: 50
Count: 689  Distance: 51
Count: 690  Distance: 50
Count: 691  Distance: 51
Count: 692  Distance: 51
Count: 693  Distance: 51
Count: 694  Distance: 50
Count: 695  Distance: 50
Count: 696  Distance: 50
Count: 697  Distance: 52
Count: 698  Distance: 51
Count: 699  Distance: 51
Count: 700  Distance: 50
Count: 701  Distance: 51
Count: 702  Distance: 50
Count: 703  Distance: 50
Count: 704  Distance: 50
Count: 705  Distance: 49
Count: 706  Distance: 50
Count: 707  Distance: 50
Count: 708  Distance: 49
Count: 709  Distance: 51
Count: 710  Distance: 51
Count: 711  Distance: 51
Count: 712  Distance: 51
Count: 713  Distance: 51
Count: 714  Distance: 51
Count: 715  Distance: 51
Count: 716  Distance: 51
Count: 717  Distance: 51
Count: 718  Distance: 51
Count: 719  Distance: 51
Count: 720  Distance: 51
Count: 721  Distance: 51
Count: 722  Distance: 51
Count: 723  Distance: 51
Count: 724  Distance: 51
Count: 725  Distance: 51
Count: 726  Distance: 51
Count: 727  Distance: 51
Count: 728  Distance: 52
Count: 729  Distance: 51
Count: 730  Distance: 51
Count: 731  Distance: 52
Count: 732  Distance: 52
Count: 733  Distance: 52
Count: 734  Distance: 51
Count: 735  Distance: 51
Count: 736  Distance: 51
Count: 737  Distance: 51
Count: 738  Distance: 50
Count: 739  Distance: 50
Count: 740  Distance: 51
Count: 741  Distance: 51
Count: 742  Distance: 52
Count: 743  Distance: 51
Count: 744  Distance: 51
Count: 745  Distance: 52
Count: 746  Distance: 52
Count: 747  Distance: 52
Count: 748  Distance: 51
Count: 749  Distance: 52
Count: 750  Distance: 51
Count: 751  Distance: 51
Count: 752  Distance: 51
Count: 753  Distance: 51
Count: 754  Distance: 51
Count: 755  Distance: 51
Count: 756  Distance: 51
Count: 757  Distance: 52
Count: 758  Distance: 51
Count: 759  Distance: 50
Count: 760  Distance: 51
Count: 761  Distance: 51
Count: 762  Distance: 51
Count: 763  Distance: 51
Count: 764  Distance: 50
Count: 765  Distance: 50
Count: 766  Distance: 50
Count: 767  Distance: 50
Count: 768  Distance: 49
Count: 769  Distance: 50
Count: 770  Distance: 51
Count: 771  Distance: 51
Count: 772  Distance: 50
Count: 773  Distance: 50
Count: 774  Distance: 50
Count: 775  Distance: 51
Count: 776  Distance: 50
Count: 777  Distance: 52
